hgnc_id	symbol	locus_group	entrez_id
HGNC:40182	DLG3-AS1	non-coding RNA	100873930
HGNC:2903	DLG4	protein-coding gene	1742
HGNC:2904	DLG5	protein-coding gene	9231
HGNC:45109	DLG5-AS1	non-coding RNA	100128292
HGNC:2905	DLGAP1	protein-coding gene	9229
HGNC:31676	DLGAP1-AS1	non-coding RNA	649446
HGNC:28146	DLGAP1-AS2	non-coding RNA	84777
HGNC:27317	DLGAP1-AS3	non-coding RNA	201477
HGNC:44333	DLGAP1-AS4	non-coding RNA	101410534
HGNC:27586	DLGAP1-AS5	non-coding RNA	284215
HGNC:2906	DLGAP2	protein-coding gene	9228
HGNC:50467	DLGAP2-AS1	non-coding RNA	100507435
HGNC:30368	DLGAP3	protein-coding gene	58512
HGNC:24476	DLGAP4	protein-coding gene	22839
HGNC:51223	DLGAP4-AS1	non-coding RNA	101926987
HGNC:16864	DLGAP5	protein-coding gene	9787
HGNC:23945	DLGAP5P1	pseudogene	360014
HGNC:55016	DLGAP5P2	pseudogene	117981791
HGNC:2907	DLK1	protein-coding gene	8788
HGNC:21113	DLK2	protein-coding gene	65989
HGNC:2908	DLL1	protein-coding gene	28514
HGNC:2909	DLL3	protein-coding gene	10683
HGNC:2910	DLL4	protein-coding gene	54567
HGNC:2911	DLST	protein-coding gene	1743
HGNC:2912	DLSTP1	pseudogene	1744
HGNC:2914	DLX1	protein-coding gene	1745
HGNC:2915	DLX2	protein-coding gene	1746
HGNC:50638	DLX2-DT	non-coding RNA	104326193
HGNC:2916	DLX3	protein-coding gene	1747
HGNC:2917	DLX4	protein-coding gene	1748
HGNC:2918	DLX5	protein-coding gene	1749
HGNC:2919	DLX6	protein-coding gene	1750
HGNC:37151	DLX6-AS1	non-coding RNA	285987
HGNC:40183	DLX6-AS2	non-coding RNA	100873931
HGNC:53125	DM1-AS	non-coding RNA	109729182
HGNC:30536	DMAC1	protein-coding gene	90871
HGNC:49128	DMAC1P1	pseudogene	100289059
HGNC:25496	DMAC2	protein-coding gene	55101
HGNC:18799	DMAC2L	protein-coding gene	27109
HGNC:18291	DMAP1	protein-coding gene	55929
HGNC:2926	DMBT1	protein-coding gene	1755
HGNC:49497	DMBT1L1	pseudogene	375940
HGNC:19026	DMBX1	protein-coding gene	127343
HGNC:2927	DMC1	protein-coding gene	11144
HGNC:2928	DMD	protein-coding gene	1756
HGNC:40185	DMD-AS3	non-coding RNA	100873916
HGNC:24475	DMGDH	protein-coding gene	29958
