hgnc_id	symbol	locus_type
HGNC:50636	DIRC3-AS1	RNA, long non-coding
HGNC:20604	DIS3	gene with protein product
HGNC:28698	DIS3L	gene with protein product
HGNC:55369	DIS3L-AS1	RNA, long non-coding
HGNC:28648	DIS3L2	gene with protein product
HGNC:14021	DIS3L2P1	pseudogene
HGNC:2888	DISC1	gene with protein product
HGNC:41325	DISC1-IT1	RNA, long non-coding
HGNC:33625	DISC1FP1	RNA, long non-coding
HGNC:2889	DISC2	RNA, long non-coding
HGNC:19711	DISP1	gene with protein product
HGNC:19712	DISP2	gene with protein product
HGNC:29251	DISP3	gene with protein product
HGNC:23695	DIXDC1	gene with protein product
HGNC:2890	DKC1	gene with protein product
HGNC:2891	DKK 1.00	gene with protein product
HGNC:2892	DKK 2.00	gene with protein product
HGNC:2893	DKK 3.00	gene with protein product
HGNC:2894	DKK 4.00	gene with protein product
HGNC:16528	DKKL1	gene with protein product
HGNC:16593	DKKL1P1	pseudogene
HGNC:2896	DLAT	gene with protein product
HGNC:2897	DLC1	gene with protein product
HGNC:2898	DLD	gene with protein product
HGNC:2899	DLEC1	gene with protein product
HGNC:44545	DLEC1P1	pseudogene
HGNC:13747	DLEU1	RNA, long non-coding
HGNC:50496	DLEU1-AS1	RNA, long non-coding
HGNC:13748	DLEU2	RNA, long non-coding
HGNC:13225	DLEU2L	RNA, long non-coding
HGNC:17567	DLEU7	gene with protein product
HGNC:39966	DLEU7-AS1	RNA, long non-coding
HGNC:2900	DLG1	gene with protein product
HGNC:44154	DLG1-AS1	RNA, long non-coding
HGNC:2901	DLG2	gene with protein product
HGNC:37132	DLG2-AS1	RNA, long non-coding
HGNC:40179	DLG2-AS2	RNA, long non-coding
HGNC:2902	DLG3	gene with protein product
HGNC:40182	DLG3-AS1	RNA, long non-coding
HGNC:2903	DLG4	gene with protein product
HGNC:2904	DLG5	gene with protein product
HGNC:45109	DLG5-AS1	RNA, long non-coding
HGNC:2905	DLGAP1	gene with protein product
HGNC:31676	DLGAP1-AS1	RNA, long non-coding
HGNC:28146	DLGAP1-AS2	RNA, long non-coding
HGNC:27317	DLGAP1-AS3	RNA, long non-coding
HGNC:44333	DLGAP1-AS4	RNA, long non-coding
HGNC:27586	DLGAP1-AS5	RNA, long non-coding
HGNC:2906	DLGAP2	gene with protein product
HGNC:50467	DLGAP2-AS1	RNA, long non-coding
HGNC:30368	DLGAP3	gene with protein product
HGNC:24476	DLGAP4	gene with protein product
HGNC:51223	DLGAP4-AS1	RNA, long non-coding
HGNC:16864	DLGAP5	gene with protein product
HGNC:23945	DLGAP5P1	pseudogene
HGNC:55016	DLGAP5P2	pseudogene
HGNC:2907	DLK1	gene with protein product
HGNC:21113	DLK2	gene with protein product
HGNC:2908	DLL1	gene with protein product
HGNC:2909	DLL3	gene with protein product
HGNC:2910	DLL4	gene with protein product
HGNC:2911	DLST	gene with protein product
HGNC:2912	DLSTP1	pseudogene
HGNC:2914	DLX1	gene with protein product
HGNC:2915	DLX2	gene with protein product
HGNC:50638	DLX2-DT	RNA, long non-coding
HGNC:2916	DLX3	gene with protein product
HGNC:2917	DLX4	gene with protein product
HGNC:2918	DLX5	gene with protein product
HGNC:2919	DLX6	gene with protein product
HGNC:37151	DLX6-AS1	RNA, long non-coding
HGNC:40183	DLX6-AS2	RNA, long non-coding
HGNC:53125	DM1-AS	RNA, long non-coding
HGNC:30536	DMAC1	gene with protein product
HGNC:49128	DMAC1P1	pseudogene
HGNC:25496	DMAC2	gene with protein product
HGNC:18799	DMAC2L	gene with protein product
HGNC:18291	DMAP1	gene with protein product
HGNC:2926	DMBT1	gene with protein product
HGNC:49497	DMBT1L1	pseudogene
HGNC:19026	DMBX1	gene with protein product
HGNC:2927	DMC1	gene with protein product
HGNC:2928	DMD	gene with protein product
HGNC:40185	DMD-AS3	RNA, long non-coding
HGNC:24475	DMGDH	gene with protein product
HGNC:25063	DMKN	gene with protein product
HGNC:2932	DMP1	gene with protein product
HGNC:2933	DMPK	gene with protein product
HGNC:2934	DMRT1	gene with protein product
HGNC:2935	DMRT2	gene with protein product
HGNC:13909	DMRT3	gene with protein product
HGNC:13826	DMRTA1	gene with protein product
HGNC:13908	DMRTA2	gene with protein product
HGNC:13913	DMRTB1	gene with protein product
HGNC:13910	DMRTC1	gene with protein product
HGNC:31686	DMRTC1B	gene with protein product
HGNC:13911	DMRTC2	gene with protein product
HGNC:14603	DMTF1	gene with protein product
HGNC:55864	DMTF1-AS1	RNA, long non-coding
HGNC:3382	DMTN	gene with protein product
HGNC:2936	DMWD	gene with protein product
HGNC:2937	DMXL1	gene with protein product
HGNC:55568	DMXL1-DT	RNA, long non-coding
HGNC:2938	DMXL2	gene with protein product
HGNC:2939	DNA2	gene with protein product
HGNC:30539	DNAAF1	gene with protein product
HGNC:20188	DNAAF2	gene with protein product
HGNC:30492	DNAAF3	gene with protein product
HGNC:55292	DNAAF3-AS1	RNA, long non-coding
HGNC:21493	DNAAF4	gene with protein product
HGNC:43019	DNAAF4-CCPG1	readthrough
HGNC:26013	DNAAF5	gene with protein product
HGNC:28570	DNAAF6	gene with protein product
HGNC:25081	DNAAF8	gene with protein product
HGNC:17721	DNAAF9	gene with protein product
HGNC:25176	DNAAF10	gene with protein product
HGNC:16725	DNAAF11	gene with protein product
HGNC:51151	DNAAF11P1	pseudogene
HGNC:2940	DNAH1	gene with protein product
HGNC:2948	DNAH2	gene with protein product
HGNC:2949	DNAH3	gene with protein product
HGNC:2950	DNAH5	gene with protein product
HGNC:2951	DNAH6	gene with protein product
HGNC:18661	DNAH7	gene with protein product
HGNC:2952	DNAH8	gene with protein product
HGNC:40188	DNAH8-AS1	RNA, long non-coding
HGNC:55663	DNAH8-DT	RNA, long non-coding
HGNC:2953	DNAH9	gene with protein product
HGNC:2941	DNAH10	gene with protein product
HGNC:37121	DNAH10OS	gene with protein product
HGNC:2942	DNAH11	gene with protein product
HGNC:2943	DNAH12	gene with protein product
HGNC:2945	DNAH14	gene with protein product
HGNC:2946	DNAH17	gene with protein product
HGNC:48594	DNAH17-AS1	RNA, long non-coding
HGNC:2954	DNAI1	gene with protein product
HGNC:18744	DNAI2	gene with protein product
HGNC:30711	DNAI3	gene with protein product
HGNC:26252	DNAI4	gene with protein product
HGNC:29599	DNAI7	gene with protein product
HGNC:5229	DNAJA1	gene with protein product
HGNC:39337	DNAJA1P1	pseudogene
HGNC:39338	DNAJA1P2	pseudogene
HGNC:39339	DNAJA1P3	pseudogene
HGNC:39340	DNAJA1P4	pseudogene
HGNC:39341	DNAJA1P5	pseudogene
HGNC:39342	DNAJA1P6	pseudogene
HGNC:14884	DNAJA2	gene with protein product
HGNC:55375	DNAJA2-DT	RNA, long non-coding
HGNC:11808	DNAJA3	gene with protein product
HGNC:14885	DNAJA4	gene with protein product
HGNC:55412	DNAJA4-DT	RNA, long non-coding
HGNC:5270	DNAJB1	gene with protein product
HGNC:24988	DNAJB1P1	pseudogene
HGNC:5228	DNAJB2	gene with protein product
HGNC:32397	DNAJB3	unknown
HGNC:14886	DNAJB4	gene with protein product
HGNC:14887	DNAJB5	gene with protein product
HGNC:49846	DNAJB5-DT	RNA, long non-coding
HGNC:50449	DNAJB5P1	pseudogene
HGNC:14888	DNAJB6	gene with protein product
HGNC:54754	DNAJB6P1	pseudogene
HGNC:54755	DNAJB6P2	pseudogene
HGNC:54756	DNAJB6P3	pseudogene
HGNC:54757	DNAJB6P4	pseudogene
HGNC:54758	DNAJB6P5	pseudogene
HGNC:54759	DNAJB6P6	pseudogene
HGNC:54760	DNAJB6P7	pseudogene
HGNC:54761	DNAJB6P8	pseudogene
HGNC:24986	DNAJB7	gene with protein product
HGNC:23699	DNAJB8	gene with protein product
HGNC:41029	DNAJB8-AS1	RNA, long non-coding
HGNC:6968	DNAJB9	gene with protein product
HGNC:14889	DNAJB11	gene with protein product
HGNC:14891	DNAJB12	gene with protein product
HGNC:54762	DNAJB12P1	pseudogene
HGNC:30718	DNAJB13	gene with protein product
HGNC:25881	DNAJB14	gene with protein product
HGNC:20090	DNAJC1	gene with protein product
HGNC:13192	DNAJC2	gene with protein product
HGNC:9439	DNAJC3	gene with protein product
HGNC:39808	DNAJC3-DT	RNA, long non-coding
HGNC:5271	DNAJC4	gene with protein product
HGNC:16235	DNAJC5	gene with protein product
HGNC:24138	DNAJC5B	gene with protein product
HGNC:24844	DNAJC5G	gene with protein product
HGNC:15469	DNAJC6	gene with protein product
HGNC:12392	DNAJC7	gene with protein product
HGNC:15470	DNAJC8	gene with protein product
HGNC:19928	DNAJC8P1	pseudogene
HGNC:19123	DNAJC9	gene with protein product
HGNC:31432	DNAJC9-AS1	RNA, long non-coding
HGNC:24637	DNAJC10	gene with protein product
HGNC:25570	DNAJC11	gene with protein product
HGNC:28908	DNAJC12	gene with protein product
HGNC:30343	DNAJC13	gene with protein product
HGNC:24581	DNAJC14	gene with protein product
HGNC:20325	DNAJC15	gene with protein product
HGNC:29157	DNAJC16	gene with protein product
HGNC:25556	DNAJC17	gene with protein product
HGNC:54782	DNAJC17P1	pseudogene
HGNC:28429	DNAJC18	gene with protein product
HGNC:30528	DNAJC19	gene with protein product
HGNC:45064	DNAJC19P1	pseudogene
HGNC:45065	DNAJC19P2	pseudogene
HGNC:45066	DNAJC19P3	pseudogene
HGNC:45067	DNAJC19P4	pseudogene
HGNC:45068	DNAJC19P5	pseudogene
HGNC:45069	DNAJC19P6	pseudogene
HGNC:45070	DNAJC19P7	pseudogene
HGNC:45071	DNAJC19P8	pseudogene
HGNC:45072	DNAJC19P9	pseudogene
HGNC:27030	DNAJC21	gene with protein product
HGNC:25802	DNAJC22	gene with protein product
HGNC:26979	DNAJC24	gene with protein product
HGNC:34187	DNAJC25	gene with protein product
HGNC:37501	DNAJC25-GNG10	readthrough
HGNC:30290	DNAJC27	gene with protein product
HGNC:42943	DNAJC27-AS1	RNA, long non-coding
HGNC:1297	DNAJC28	gene with protein product
HGNC:16410	DNAJC30	gene with protein product
HGNC:23247	DNAL1	gene with protein product
HGNC:2955	DNAL4	gene with protein product
HGNC:14353	DNALI1	gene with protein product
HGNC:2956	DNASE1	gene with protein product
HGNC:2957	DNASE1L1	gene with protein product
HGNC:2958	DNASE1L2	gene with protein product
HGNC:2959	DNASE1L3	gene with protein product
HGNC:2960	DNASE2	gene with protein product
HGNC:28875	DNASE2B	gene with protein product
HGNC:23799	DND1	gene with protein product
HGNC:31444	DND1P1	pseudogene
HGNC:31445	DND1P2	pseudogene
HGNC:24456	DNER	gene with protein product
HGNC:26532	DNHD1	gene with protein product
HGNC:33879	DNLZ	gene with protein product
HGNC:2972	DNM1	gene with protein product
HGNC:2973	DNM1L	gene with protein product
HGNC:21122	DNM1P5	pseudogene
HGNC:21126	DNM1P9	pseudogene
HGNC:21134	DNM1P17	pseudogene
HGNC:21135	DNM1P18	pseudogene
HGNC:21136	DNM1P19	pseudogene
HGNC:35171	DNM1P24	pseudogene
HGNC:35172	DNM1P25	pseudogene
HGNC:35173	DNM1P26	pseudogene
HGNC:35174	DNM1P27	pseudogene
HGNC:35175	DNM1P28	pseudogene
HGNC:35176	DNM1P29	pseudogene
HGNC:35177	DNM1P30	pseudogene
HGNC:35178	DNM1P31	pseudogene
HGNC:35179	DNM1P32	pseudogene
HGNC:35180	DNM1P33	pseudogene
HGNC:35181	DNM1P34	pseudogene
HGNC:35182	DNM1P35	pseudogene
HGNC:35186	DNM1P36	pseudogene
HGNC:35187	DNM1P37	pseudogene
HGNC:35188	DNM1P38	pseudogene
HGNC:35189	DNM1P39	pseudogene
HGNC:35190	DNM1P40	pseudogene
HGNC:35191	DNM1P41	pseudogene
HGNC:35193	DNM1P43	pseudogene
HGNC:35194	DNM1P44	pseudogene
HGNC:35195	DNM1P45	pseudogene
HGNC:35199	DNM1P46	pseudogene
HGNC:35200	DNM1P47	pseudogene
HGNC:38801	DNM1P48	pseudogene
HGNC:47040	DNM1P49	pseudogene
HGNC:48499	DNM1P50	pseudogene
HGNC:48500	DNM1P51	pseudogene
HGNC:2974	DNM2	gene with protein product
HGNC:29125	DNM3	gene with protein product
HGNC:41494	DNM3-IT1	RNA, long non-coding
HGNC:41228	DNM3OS	RNA, long non-coding
HGNC:30373	DNMBP	gene with protein product
HGNC:20431	DNMBP-AS1	RNA, long non-coding
HGNC:2976	DNMT1	gene with protein product
HGNC:2978	DNMT3A	gene with protein product
HGNC:23164	DNMT3AP1	pseudogene
HGNC:2979	DNMT3B	gene with protein product
HGNC:2980	DNMT3L	gene with protein product
HGNC:40189	DNMT3L-AS1	RNA, long non-coding
HGNC:2981	DNPEP	gene with protein product
HGNC:55789	DNPEP-AS1	RNA, long non-coding
HGNC:21218	DNPH1	gene with protein product
HGNC:2983	DNTT	gene with protein product
HGNC:16160	DNTTIP1	gene with protein product
HGNC:24013	DNTTIP2	gene with protein product
HGNC:2985	DOC2A	gene with protein product
HGNC:2986	DOC2B	gene with protein product
HGNC:37962	DOC2GP	pseudogene
HGNC:2987	DOCK1	gene with protein product
HGNC:2988	DOCK2	gene with protein product
HGNC:2989	DOCK3	gene with protein product
HGNC:19192	DOCK4	gene with protein product
HGNC:40876	DOCK4-AS1	RNA, long non-coding
HGNC:23476	DOCK5	gene with protein product
HGNC:19189	DOCK6	gene with protein product
HGNC:19190	DOCK7	gene with protein product
HGNC:55670	DOCK7-DT	RNA, long non-coding
HGNC:19191	DOCK8	gene with protein product
HGNC:26436	DOCK8-AS1	RNA, long non-coding
HGNC:55822	DOCK8-AS2	RNA, long non-coding
HGNC:14132	DOCK9	gene with protein product
HGNC:40672	DOCK9-AS1	RNA, long non-coding
HGNC:43696	DOCK9-DT	RNA, long non-coding
HGNC:23479	DOCK10	gene with protein product
HGNC:23483	DOCK11	gene with protein product
HGNC:31719	DOCK11P1	pseudogene
HGNC:28662	DOHH	gene with protein product
HGNC:2990	DOK1	gene with protein product
HGNC:2991	DOK2	gene with protein product
HGNC:24583	DOK3	gene with protein product
HGNC:19868	DOK4	gene with protein product
HGNC:16173	DOK5	gene with protein product
HGNC:28301	DOK6	gene with protein product
HGNC:26594	DOK7	gene with protein product
HGNC:23406	DOLK	gene with protein product
HGNC:29565	DOLPP1	gene with protein product
HGNC:2993	DONSON	gene with protein product
HGNC:21194	DOP1A	gene with protein product
HGNC:1291	DOP1B	gene with protein product
HGNC:24948	DOT1L	gene with protein product
HGNC:2995	DPAGT1	gene with protein product
HGNC:24542	DPCD	gene with protein product
HGNC:3002	DPEP1	gene with protein product
HGNC:23028	DPEP2	gene with protein product
HGNC:52385	DPEP2NB	gene with protein product
HGNC:23029	DPEP3	gene with protein product
HGNC:20225	DPF1	gene with protein product
HGNC:9964	DPF2	gene with protein product
HGNC:17427	DPF3	gene with protein product
HGNC:3003	DPH1	gene with protein product
HGNC:3004	DPH2	gene with protein product
HGNC:27717	DPH3	gene with protein product
HGNC:16136	DPH3P1	pseudogene
HGNC:38719	DPH3P2	pseudogene
HGNC:24270	DPH5	gene with protein product
HGNC:30543	DPH6	gene with protein product
HGNC:44147	DPH6-DT	RNA, long non-coding
HGNC:25199	DPH7	gene with protein product
HGNC:3005	DPM1	gene with protein product
HGNC:3006	DPM2	gene with protein product
HGNC:3007	DPM3	gene with protein product
HGNC:3008	DPP3	gene with protein product
HGNC:55494	DPP3-DT	RNA, long non-coding
HGNC:51349	DPP3P1	pseudogene
HGNC:51350	DPP3P2	pseudogene
HGNC:3009	DPP4	gene with protein product
HGNC:40191	DPP4-DT	RNA, long non-coding
HGNC:3010	DPP6	gene with protein product
HGNC:14892	DPP7	gene with protein product
HGNC:16490	DPP8	gene with protein product
HGNC:18648	DPP9	gene with protein product
HGNC:50706	DPP9-AS1	RNA, long non-coding
HGNC:20823	DPP10	gene with protein product
HGNC:40941	DPP10-AS1	RNA, long non-coding
HGNC:40940	DPP10-AS2	RNA, long non-coding
HGNC:40939	DPP10-AS3	RNA, long non-coding
HGNC:19197	DPPA2	gene with protein product
HGNC:38448	DPPA2P1	pseudogene
HGNC:44627	DPPA2P2	pseudogene
HGNC:44628	DPPA2P3	pseudogene
HGNC:44629	DPPA2P4	pseudogene
HGNC:19199	DPPA3	gene with protein product
HGNC:32345	DPPA3P1	pseudogene
HGNC:20417	DPPA3P2	pseudogene
HGNC:49062	DPPA3P3	pseudogene
HGNC:19200	DPPA4	gene with protein product
HGNC:44903	DPPA4P1	pseudogene
HGNC:19201	DPPA5	gene with protein product
HGNC:43752	DPPA5P1	pseudogene
HGNC:43754	DPPA5P2	pseudogene
HGNC:44688	DPPA5P3	pseudogene
HGNC:49665	DPPA5P4	pseudogene
HGNC:32166	DPRX	gene with protein product
HGNC:32167	DPRXP1	pseudogene
HGNC:32168	DPRXP2	pseudogene
HGNC:32169	DPRXP3	pseudogene
HGNC:32170	DPRXP4	pseudogene
HGNC:32171	DPRXP5	pseudogene
HGNC:32172	DPRXP6	pseudogene
HGNC:32173	DPRXP7	pseudogene
HGNC:3011	DPT	gene with protein product
HGNC:22205	DPY19L1	gene with protein product
HGNC:22395	DPY19L1P1	pseudogene
HGNC:22851	DPY19L1P2	pseudogene
HGNC:19414	DPY19L2	gene with protein product
HGNC:22305	DPY19L2P1	pseudogene
HGNC:21764	DPY19L2P2	pseudogene
HGNC:22367	DPY19L2P3	pseudogene
HGNC:22176	DPY19L2P4	pseudogene
HGNC:51620	DPY19L2P5	pseudogene
HGNC:27120	DPY19L3	gene with protein product
HGNC:55307	DPY19L3-DT	RNA, long non-coding
HGNC:27829	DPY19L4	gene with protein product
HGNC:53907	DPY19L4P1	pseudogene
HGNC:53908	DPY19L4P2	pseudogene
HGNC:24590	DPY30	gene with protein product
HGNC:3012	DPYD	gene with protein product
HGNC:40195	DPYD-AS1	RNA, long non-coding
HGNC:40196	DPYD-AS2	RNA, long non-coding
HGNC:41326	DPYD-IT1	RNA, long non-coding
HGNC:3013	DPYS	gene with protein product
HGNC:3014	DPYSL2	gene with protein product
HGNC:3015	DPYSL3	gene with protein product
HGNC:3016	DPYSL4	gene with protein product
HGNC:20637	DPYSL5	gene with protein product
HGNC:20410	DQX1	gene with protein product
HGNC:3017	DR1	gene with protein product
HGNC:27082	DRAIC	RNA, long non-coding
HGNC:25645	DRAM1	gene with protein product
HGNC:28769	DRAM2	gene with protein product
HGNC:3019	DRAP1	gene with protein product
HGNC:25054	DRAXIN	gene with protein product
HGNC:44334	DRAXINP1	pseudogene
HGNC:24245	DRC1	gene with protein product
HGNC:25384	DRC3	gene with protein product
HGNC:25289	DRC7	gene with protein product
HGNC:3020	DRD1	gene with protein product
HGNC:3023	DRD2	gene with protein product
HGNC:3024	DRD3	gene with protein product
HGNC:3025	DRD4	gene with protein product
HGNC:3026	DRD5	gene with protein product
HGNC:3027	DRD5P1	pseudogene
HGNC:3028	DRD5P2	pseudogene
HGNC:3029	DRG1	gene with protein product
HGNC:54701	DRG1P1	pseudogene
HGNC:3030	DRG2	gene with protein product
HGNC:21536	DRGX	gene with protein product
HGNC:28031	DRICH1	gene with protein product
HGNC:17904	DROSHA	gene with protein product
HGNC:3032	DRP2	gene with protein product
HGNC:3035	DSC1	gene with protein product
HGNC:3036	DSC2	gene with protein product
HGNC:3037	DSC3	gene with protein product
HGNC:3039	DSCAM	gene with protein product
HGNC:40197	DSCAM-AS1	RNA, long non-coding
HGNC:41327	DSCAM-IT1	RNA, long non-coding
HGNC:14656	DSCAML1	gene with protein product
HGNC:51116	DSCAS	RNA, long non-coding
HGNC:24453	DSCC1	gene with protein product
HGNC:3045	DSCR4	RNA, long non-coding
HGNC:41328	DSCR4-IT1	RNA, long non-coding
HGNC:16707	DSCR8	RNA, long non-coding
HGNC:16301	DSCR9	RNA, long non-coding
HGNC:16302	DSCR10	RNA, long non-coding
HGNC:21144	DSE	gene with protein product
HGNC:18144	DSEL	gene with protein product
HGNC:55325	DSEL-AS1	RNA, long non-coding
HGNC:3048	DSG1	gene with protein product
HGNC:51115	DSG1-AS1	RNA, long non-coding
HGNC:3049	DSG2	gene with protein product
HGNC:51311	DSG2-AS1	RNA, long non-coding
HGNC:3050	DSG3	gene with protein product
HGNC:21307	DSG4	gene with protein product
HGNC:16165	DSN1	gene with protein product
HGNC:3052	DSP	gene with protein product
HGNC:3054	DSPP	gene with protein product
HGNC:1090	DST	gene with protein product
HGNC:40098	DST-AS1	RNA, long non-coding
HGNC:15750	DSTN	gene with protein product
HGNC:23769	DSTNP1	pseudogene
HGNC:34546	DSTNP2	pseudogene
HGNC:34547	DSTNP3	pseudogene
HGNC:44548	DSTNP4	pseudogene
HGNC:44549	DSTNP5	pseudogene
HGNC:29043	DSTYK	gene with protein product
HGNC:16219	DTD1	gene with protein product
HGNC:40762	DTD1-AS1	RNA, long non-coding
HGNC:20277	DTD2	gene with protein product
HGNC:37261	DTHD1	gene with protein product
HGNC:30288	DTL	gene with protein product
HGNC:3057	DTNA	gene with protein product
HGNC:3058	DTNB	gene with protein product
HGNC:40198	DTNB-AS1	RNA, long non-coding
HGNC:17328	DTNBP1	gene with protein product
HGNC:30926	DTWD1	gene with protein product
HGNC:19334	DTWD2	gene with protein product
HGNC:3060	DTX1	gene with protein product
HGNC:15973	DTX2	gene with protein product
HGNC:42352	DTX2P1	pseudogene
HGNC:42360	DTX2P1-UPK3BP1-PMS2P11	readthrough
HGNC:24457	DTX3	gene with protein product
HGNC:30323	DTX3L	gene with protein product
HGNC:29151	DTX4	gene with protein product
HGNC:3061	DTYMK	gene with protein product
HGNC:48569	DUBR	RNA, long non-coding
HGNC:3062	DUOX1	gene with protein product
HGNC:13273	DUOX2	gene with protein product
HGNC:26507	DUOXA1	gene with protein product
HGNC:32698	DUOXA2	gene with protein product
HGNC:30086	DUS1L	gene with protein product
HGNC:26014	DUS2	gene with protein product
HGNC:26920	DUS3L	gene with protein product
HGNC:21517	DUS4L	gene with protein product
HGNC:54422	DUS4L-BCAP29	readthrough
HGNC:3064	DUSP1	gene with protein product
HGNC:3068	DUSP2	gene with protein product
HGNC:3069	DUSP3	gene with protein product
HGNC:3070	DUSP4	gene with protein product
HGNC:3071	DUSP5	gene with protein product
HGNC:55154	DUSP5-DT	RNA, long non-coding
HGNC:32020	DUSP5P1	pseudogene
HGNC:44482	DUSP5P2	pseudogene
HGNC:3072	DUSP6	gene with protein product
HGNC:3073	DUSP7	gene with protein product
HGNC:3074	DUSP8	gene with protein product
HGNC:3075	DUSP8P1	pseudogene
HGNC:45001	DUSP8P2	pseudogene
HGNC:45003	DUSP8P5	pseudogene
HGNC:3076	DUSP9	gene with protein product
HGNC:3065	DUSP10	gene with protein product
HGNC:3066	DUSP11	gene with protein product
HGNC:3067	DUSP12	gene with protein product
HGNC:49059	DUSP12P1	pseudogene
HGNC:19681	DUSP13	gene with protein product
HGNC:17007	DUSP14	gene with protein product
HGNC:16236	DUSP15	gene with protein product
HGNC:17909	DUSP16	gene with protein product
HGNC:18484	DUSP18	gene with protein product
HGNC:18894	DUSP19	gene with protein product
HGNC:20476	DUSP21	gene with protein product
HGNC:16077	DUSP22	gene with protein product
HGNC:21480	DUSP23	gene with protein product
HGNC:28161	DUSP26	gene with protein product
HGNC:33237	DUSP28	gene with protein product
HGNC:23481	DUSP29	gene with protein product
HGNC:3078	DUT	gene with protein product
HGNC:55420	DUT-AS1	RNA, long non-coding
HGNC:31956	DUTP1	pseudogene
HGNC:39515	DUTP2	pseudogene
HGNC:39516	DUTP3	pseudogene
HGNC:39517	DUTP4	pseudogene
HGNC:39518	DUTP5	pseudogene
HGNC:39519	DUTP6	pseudogene
HGNC:39520	DUTP7	pseudogene
HGNC:39521	DUTP8	pseudogene
HGNC:3079	DUX1	gene with protein product
HGNC:3081	DUX3	gene with protein product
HGNC:50800	DUX4	gene with protein product
HGNC:3082	DUX4L1	pseudogene
HGNC:37267	DUX4L2	pseudogene
HGNC:38688	DUX4L3	pseudogene
HGNC:38686	DUX4L4	pseudogene
HGNC:38689	DUX4L5	pseudogene
HGNC:37265	DUX4L6	pseudogene
HGNC:37266	DUX4L7	pseudogene
HGNC:38670	DUX4L8	pseudogene
HGNC:33855	DUX4L9	pseudogene
HGNC:31354	DUX4L10	pseudogene
HGNC:38687	DUX4L11	pseudogene
HGNC:38671	DUX4L12	pseudogene
HGNC:38672	DUX4L13	pseudogene
HGNC:38673	DUX4L14	pseudogene
HGNC:38674	DUX4L15	pseudogene
HGNC:37719	DUX4L16	pseudogene
HGNC:37717	DUX4L17	pseudogene
HGNC:37716	DUX4L18	pseudogene
HGNC:37718	DUX4L19	pseudogene
HGNC:50801	DUX4L20	pseudogene
HGNC:50802	DUX4L21	pseudogene
HGNC:50803	DUX4L22	pseudogene
HGNC:50804	DUX4L23	pseudogene
HGNC:50805	DUX4L24	pseudogene
HGNC:50806	DUX4L25	pseudogene
HGNC:50807	DUX4L26	pseudogene
HGNC:50808	DUX4L27	pseudogene
HGNC:51605	DUX4L28	pseudogene
HGNC:51606	DUX4L29	pseudogene
HGNC:51770	DUX4L31	pseudogene
HGNC:51771	DUX4L32	pseudogene
HGNC:51789	DUX4L33	pseudogene
HGNC:51772	DUX4L34	pseudogene
HGNC:51773	DUX4L35	pseudogene
HGNC:51774	DUX4L36	pseudogene
HGNC:51775	DUX4L37	pseudogene
HGNC:51776	DUX4L38	pseudogene
HGNC:51777	DUX4L39	pseudogene
HGNC:51778	DUX4L40	pseudogene
HGNC:51779	DUX4L41	pseudogene
HGNC:51780	DUX4L42	pseudogene
HGNC:51781	DUX4L43	pseudogene
HGNC:51782	DUX4L44	pseudogene
HGNC:51783	DUX4L45	pseudogene
HGNC:51784	DUX4L46	pseudogene
HGNC:51785	DUX4L47	pseudogene
HGNC:51786	DUX4L48	pseudogene
HGNC:51787	DUX4L49	pseudogene
HGNC:51788	DUX4L50	pseudogene
HGNC:51810	DUX4L51	pseudogene
HGNC:51811	DUX4L52	pseudogene
HGNC:3083	DUX5	gene with protein product
HGNC:32179	DUXA	gene with protein product
HGNC:32180	DUXAP1	pseudogene
HGNC:32181	DUXAP2	pseudogene
HGNC:32182	DUXAP3	pseudogene
HGNC:32183	DUXAP4	pseudogene
HGNC:32184	DUXAP5	pseudogene
HGNC:32185	DUXAP6	pseudogene
HGNC:32186	DUXAP7	pseudogene
HGNC:32187	DUXAP8	pseudogene
HGNC:32188	DUXAP9	pseudogene
HGNC:32189	DUXAP10	pseudogene
HGNC:51812	DUXAP11	pseudogene
HGNC:51813	DUXAP12	pseudogene
HGNC:33345	DUXB	gene with protein product
HGNC:3084	DVL1	gene with protein product
HGNC:3085	DVL1P1	pseudogene
HGNC:3086	DVL2	gene with protein product
HGNC:3087	DVL3	gene with protein product
HGNC:2992	DXO	gene with protein product
HGNC:23460	DYDC1	gene with protein product
HGNC:23468	DYDC2	gene with protein product
HGNC:21317	DYM	gene with protein product
HGNC:37046	DYM-AS1	RNA, long non-coding
HGNC:26808	DYNAP	gene with protein product
HGNC:2961	DYNC1H1	gene with protein product
HGNC:2963	DYNC1I1	gene with protein product
HGNC:2964	DYNC1I2	gene with protein product
HGNC:45012	DYNC1I2P1	pseudogene
HGNC:18745	DYNC1LI1	gene with protein product
HGNC:2966	DYNC1LI2	gene with protein product
HGNC:52990	DYNC1LI2-DT	RNA, long non-coding
HGNC:2962	DYNC2H1	gene with protein product
HGNC:21862	DYNC2I1	gene with protein product
HGNC:28296	DYNC2I2	gene with protein product
HGNC:24595	DYNC2LI1	gene with protein product
HGNC:15476	DYNLL1	gene with protein product
HGNC:20723	DYNLL1P1	pseudogene
HGNC:20724	DYNLL1P2	pseudogene
HGNC:49654	DYNLL1P3	pseudogene
HGNC:49655	DYNLL1P4	pseudogene
HGNC:49656	DYNLL1P5	pseudogene
HGNC:49657	DYNLL1P6	pseudogene
HGNC:49658	DYNLL1P7	pseudogene
