hugo_gene_symbol	type	entrez_id
LOC100131654	protein-coding	100131654
LOC283728	protein-coding	283728
DKFZP586B0319	protein-coding	26069
LOC100128001	protein-coding	100128001
LOC100128551	protein-coding	100128551
LOC100130976	protein-coding	100130976
LOC283911	protein-coding	283911
LOC283745	protein-coding	283745
LOC100130175	protein-coding	100130175
LOC100129393	protein-coding	100129393
LOC100131894	protein-coding	100131894
LOC100506562	protein-coding	100506562
LOC100132365	protein-coding	100132365
LOC100506667	protein-coding	100506667
LOC340335	protein-coding	340335
LOC152286	protein-coding	152286
LOC100507494	protein-coding	100507494
LOC286121	protein-coding	286121
LOC100129399	protein-coding	100129399
LOC100128429	protein-coding	100128429
LOC100132069	protein-coding	100132069
LOC100131829	protein-coding	100131829
LOC100128697	protein-coding	100128697
LOC100128320	protein-coding	100128320
LOC100128198	protein-coding	100128198
LOC100129363	protein-coding	100129363
LOC100130865	protein-coding	100130865
LOC100132197	protein-coding	100132197
LOC728375	protein-coding	728375
LOC100130573	protein-coding	100130573
LOC100130761	protein-coding	100130761
LOC285181	protein-coding	285181
LOC283075	protein-coding	283075
LOC100291323	protein-coding	100291323
LOC100287294	protein-coding	100287294
LOC100128571	protein-coding	100128571
LOC100131004	protein-coding	100131004
LOC143286	protein-coding	143286
DKFZP586K1520	protein-coding	26106
LOC100129240	protein-coding	100129240
LOC649783	protein-coding	649783
LOC100131101	protein-coding	100131101
LOC100132800	protein-coding	100132800
LOC101060596	protein-coding	101060596
LOC100505650	protein-coding	100505650
LOC100293704	protein-coding	100293704
LOC102725207	protein-coding	102725207
LOC101060580	protein-coding	101060580
LOC101930013	protein-coding	101930013
LOC101929812	protein-coding	101929812
LOC646767	protein-coding	646767
LOC101059935	protein-coding	101059935
HOTS	protein-coding	103344718
LOC107984155	protein-coding	107984155
LOC100289009	protein-coding	100289009
LOC100288908	protein-coding	100288908
LOC100128795	protein-coding	100128795
EGFRVIII	protein-coding	-3
