hgnc_id	symbol	locus_group	locus_type	entrez_id
HGNC:41932	PTP4A1P5	pseudogene	pseudogene	100289380
HGNC:41933	PTP4A1P6	pseudogene	pseudogene	100129472
HGNC:41934	PTP4A1P7	pseudogene	pseudogene	100421681
HGNC:9635	PTP4A2	protein-coding gene	gene with protein product	8073
HGNC:9637	PTP4A2P1	pseudogene	pseudogene	5767
HGNC:9638	PTP4A2P2	pseudogene	pseudogene	5769
HGNC:9636	PTP4A3	protein-coding gene	gene with protein product	11156
HGNC:9308	PTPA	protein-coding gene	gene with protein product	5524
HGNC:30184	PTPDC1	protein-coding gene	gene with protein product	138639
HGNC:26965	PTPMT1	protein-coding gene	gene with protein product	114971
HGNC:9642	PTPN1	protein-coding gene	gene with protein product	5770
HGNC:9650	PTPN2	protein-coding gene	gene with protein product	5771
HGNC:9653	PTPN2P1	pseudogene	pseudogene	646981
HGNC:9654	PTPN2P2	pseudogene	pseudogene	646758
HGNC:9655	PTPN3	protein-coding gene	gene with protein product	5774
HGNC:9656	PTPN4	protein-coding gene	gene with protein product	5775
HGNC:9657	PTPN5	protein-coding gene	gene with protein product	84867
HGNC:9658	PTPN6	protein-coding gene	gene with protein product	5777
HGNC:9659	PTPN7	protein-coding gene	gene with protein product	5778
HGNC:9661	PTPN9	protein-coding gene	gene with protein product	5780
HGNC:9644	PTPN11	protein-coding gene	gene with protein product	5781
HGNC:9645	PTPN12	protein-coding gene	gene with protein product	5782
HGNC:9646	PTPN13	protein-coding gene	gene with protein product	5783
HGNC:9647	PTPN14	protein-coding gene	gene with protein product	5784
HGNC:9649	PTPN18	protein-coding gene	gene with protein product	26469
HGNC:23423	PTPN20	protein-coding gene	gene with protein product	26095
HGNC:23424	PTPN20CP	pseudogene	pseudogene	653045
HGNC:9651	PTPN21	protein-coding gene	gene with protein product	11099
HGNC:9652	PTPN22	protein-coding gene	gene with protein product	26191
HGNC:14406	PTPN23	protein-coding gene	gene with protein product	25930
HGNC:9664	PTPRA	protein-coding gene	gene with protein product	5786
HGNC:9665	PTPRB	protein-coding gene	gene with protein product	5787
HGNC:9666	PTPRC	protein-coding gene	gene with protein product	5788
HGNC:9667	PTPRCAP	protein-coding gene	gene with protein product	5790
HGNC:9668	PTPRD	protein-coding gene	gene with protein product	5789
HGNC:49753	PTPRD-AS1	non-coding RNA	RNA, long non-coding	101929407
HGNC:49754	PTPRD-AS2	non-coding RNA	RNA, long non-coding	101929428
HGNC:9669	PTPRE	protein-coding gene	gene with protein product	5791
HGNC:9670	PTPRF	protein-coding gene	gene with protein product	5792
HGNC:9671	PTPRG	protein-coding gene	gene with protein product	5793
